element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
Fe	3	"200.0046"	"0.0005"	"200.00470"	"0.00020"	"44000"	"2.3e+08"	C	"11.121102"	"17.318159"	"3d5.(a 2G).4s"	"3G"	"3"	"3d5.(4F).4p"	"3G*"	"3"		"u45"	"L11223"	
C	2	""	""	"200.02"	"0.03"	""	"2.4e+07"	C	"23.118841"	"29.3153"	"2s.2p.(3P*).3p"	"4P"	"5/2"	"2s.2p.(3P*).6d"	"4D*"	"7/2"		"T10528"	""	
Fe	3	""	""	"200.0322"	"0.0004"	""	"2.6e-01"	C	"0.054081"	"6.250285"	"3d6"	"5D"	"3"	"3d6"	"b 3P"	"2"	M1+E2	"u45"	""	
Fe	2	"200.037731"	"0.000011"	"200.037732"	"0.000010"	"80000"	"9.5e+07"	C+	"2.52186911"	"8.7179023"	"3d7"	"a 2H"	"11/2"	"3d6.(3G).4p"	"x 2G*"	"9/2"		"T6892c83"	"L18349c139"	
Ni	1	""	""	"200.0497"	"0.0010"	""	"5.4e+06"	C	"0.1090833"	"6.3047451"	"3d9.(2D).4s"	"3D"	"2"	"3d9.(2D).5p"	"3D*"	"1"		"T3861"	""	
Ag	2	"200.068462"	"0.000013"	"200.068449"	"0.000008"	"40000"	"1.75e+07"	B+	"4.85621528"	"11.05129731"	"4d9.(2D<5/2>).5s"	"2[5/2]"	"3"	"4d9.(2D<3/2>).5p"	"2[5/2]*"	"3"		"T6475c86"	"L11881c113"	
Ca	3	"200.0895"	"0.0008"	"200.08954"	"0.00024"	"1400"	"2.6e+08"	B	"34.544603"	"40.739032"	"3s2.3p5.4p"	"3D"	"1"	"3s2.3p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"		"u33"	"L262"	
Co	3	"200.10846"	"0.00004"	"200.10842"	"0.00003"	"3800"	"6.0e+07"	C	"9.4873214"	"15.6811662"	"3d6.(3G).4s"	"a 4G"	"11/2"	"3d6.(3H).4p"	"z 4H*"	"13/2"		"u37"	"L19543c139"	
Nb	4	"200.1232"	"0.0005"	"200.1229"	"0.0003"	"1000"	"1.40e+08"	C+	"22.858830"	"29.052228"	"4d.4f"	"3G*"	"3"	"4d.(2D<5/2>).5g"	"2[9/2]"	"4"		"T2192"	"L12094"	
Ca	3	"200.1402"	"0.0008"	"200.1404"	"0.0004"	"1100"	"4.9e+06"	C	"28.197988"	"34.390844"	"3s2.3p5.3d"	"3D*"	"1"	"3s2.3p5.4p"	"3D"	"2"		"T7942"	"L262"	
W	3	"200.1715"	"0.0010"	"200.1722"	"0.0005"	""	"9.66e+07"	B	"1.597044"	"7.788917"	"5d4"	"3P2"	"1"	""	""	"2"		"T7469"	"L14407"	
Fe	3	"200.1828"	"0.0005"	"200.18307"	"0.00024"	"59000"	"1.6e+08"	C+	"11.147182"	"17.338718"	"3d5.(a 2G).4s"	"3G"	"5"	"3d5.(2H).4p"	"3I*"	"6"		"u45"	"L11223"	
Ni	1	""	""	"200.183"	"0.010"	""	"7.3e+06"	C	"0.0253904"	"6.21691"	"3d9.(2D).4s"	"3D"	"3"	"3d9.(2D).5p"	"*"	"3"		"T3861"	""	
Fe	3	"200.2477"	"0.0005"	"200.2475"	"0.0003"	"44000"	"4.2e+08"	C+	"13.585070"	"19.774614"	"3d5.(b 2D).4s"	"1D"	"2"	"3d5.(b 2D).4p"	"1F*"	"3"		"u44"	"L11223"	
Ca	3	"200.2987"	"0.0008"	"200.2986"	"0.0004"	"1100"	"3.0e+08"	B	"34.856862"	"41.044828"	"3s2.3p5.4p"	"1P"	"1"	"3s2.3p5.(2P*<1/2>).5s"	"2[1/2]*"	"0"		"u33"	"L262"	
Na	7	""	""	"200.3"	"0.6"	""	"4.98e+06"	C	"172.685"	"178.873"	"2p2.(1D).3p"	"2D*"	"3/2"	"2s.2p.(3P*).4p"	"2P"	"1/2"		"T7192c3,LS"	""	
C	3	""	""	"200.3161"	"0.0010"	""	"1.87e-03"	B	"6.502613"	"12.690036"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.2p"	"1P*"	"1"	M1	"T4492,T3474"	""	
Mg	9	""	""	"200.38"	"0.10"	""	"2.24e+07"	C+	"218.084"	"224.270"	"1s2.2p.3p"	"3D"	"3"	"1s2.2p.3d"	"3D*"	"3"		"T5633c4,LS"	""	
Na	3	"200.4215"	"0.0005"	"200.4214"	"0.0011"	"10"	"2.07e+08"	B+	"51.690167"	"57.874340"	"2s2.2p4.(3P).3p"	"2S*"	"1/2"	"2s2.2p4.(3P).3d"	"2P"	"3/2"		"c51,T7317"	"L1882"	
V	2	"200.478743"	"0.000015"	"200.478739"	"0.000013"	"120000"	"1.52e+08"	B	"2.5247320"	"8.7071374"	"3d3.(2H).4s"	"b 3H"	"6"	"3d2.(3F).4s.4p.(3P*)"	"v 3G*"	"5"		"T9770"	"L18516"	
Mg	3	""	""	"200.486"	"0.010"	""	"2.27e-03"	B+	"52.77267"	"58.95485"	"2s2.2p5.3s"	"3P*"	"2"	"2s2.2p5.3p"	"3D"	"1"	M2	"c46"	""	
Mg	3	"200.4860"	"0.0010"	"200.4862"	"0.0010"	"6"	"3.33e+07"	B+	"52.77267"	"58.95485"	"2s2.2p5.3s"	"3P*"	"2"	"2s2.2p5.3p"	"3D"	"1"		"c46"	"L1434"	
O	4	""	""	"200.496"	"0.010"	""	"8.54e+05"	B	"61.99147"	"68.1733"	"2s2.4p"	"2P*"	"1/2"	"2s.2p.(1P*).3p"	"2P"	"3/2"		"T5109LS"	""	
Na	3	"200.5217"	"0.0005"	"200.5216"	"0.0011"	"11"	"9.67e+07"	B	"45.570413"	"51.751498"	"2s2.2p4.(3P).3s"	"4P"	"1/2"	"2s2.2p4.(3P).3p"	"4S*"	"3/2"		"c51,T7317"	"L1882"	
Na	3	"200.5546"	"0.0005"	"200.5548"	"0.0011"	"9"	"1.50e+08"	B+	"51.474802"	"57.654863"	"2s2.2p4.(3P).3p"	"2D*"	"3/2"	"2s2.2p4.(3P).3d"	"2D"	"3/2"		"c51,T7317"	"L1882"	
Fe	3	"200.5712"	"0.0005"	"200.57140"	"0.00016"	"44000"	"2.0e+08"	C	"11.131770"	"17.311320"	"3d5.(a 2G).4s"	"3G"	"4"	"3d5.(4F).4p"	"3G*"	"4"		"u45"	"L11223"	
Na	4	""	""	"200.574"	"0.057"	""	"3.12e+08"	B+	"73.9664"	"80.1458"	"2s2.2p3.(2D*).3p"	"1D"	"2"	"2s2.2p3.(2D*).3d"	"1F*"	"3"		"T7663c11"	""	
B	2	""	""	"200.5868"	"0.0012"	""	"2.8e+07"	C	"18.678180"	"24.85725"	"1s2.2s.3d"	"3D"	"2"	"1s2.2p.3d"	"3D*"	"3"		"u27,LS"	""	
B	2	"200.5868"	"0.0010"	"200.5868"	"0.0010"	"200"	"2.21e+08"	B	"18.678180"	"24.85725"	"1s2.2s.3d"	"3D"	"3"	"1s2.2p.3d"	"3D*"	"3"		"u27,LS"	"L12120"	
Na	7	""	""	"200.6"	"0.6"	""	"1.06e+08"	B+	"155.449"	"161.627"	"2s.2p.(1P*).3p"	"2P"	"3/2"	"2s.2p.(1P*).3d"	"2D*"	"5/2"		"T7192c3,LS"	""	
B	2	"200.6080"	"0.0010"	"200.6085"	"0.0010"	"100"	"1.74e+08"	B	"18.678180"	"24.85659"	"1s2.2s.3d"	"3D"	"2"	"1s2.2p.3d"	"3D*"	"2"		"u27,LS"	"L12120"	
B	2	""	""	"200.6085"	"0.0012"	""	"3.8e+07"	C	"18.678180"	"24.85659"	"1s2.2s.3d"	"3D"	"1"	"1s2.2p.3d"	"3D*"	"2"		"u27,LS"	""	
B	2	""	""	"200.6085"	"0.0012"	""	"3.89e+07"	C	"18.678180"	"24.85659"	"1s2.2s.3d"	"3D"	"3"	"1s2.2p.3d"	"3D*"	"2"		"u27,LS"	""	
B	2	"200.6229"	"0.0010"	"200.6238"	"0.0010"	"50"	"1.87e+08"	B	"18.678180"	"24.85612"	"1s2.2s.3d"	"3D"	"1"	"1s2.2p.3d"	"3D*"	"1"		"u27,LS"	"L12120"	
B	2	""	""	"200.6238"	"0.0012"	""	"6.22e+07"	B	"18.678180"	"24.85612"	"1s2.2s.3d"	"3D"	"2"	"1s2.2p.3d"	"3D*"	"1"		"u27,LS"	""	
O	4	""	""	"200.669"	"0.010"	""	"4.26e+06"	B	"61.99679"	"68.1733"	"2s2.4p"	"2P*"	"3/2"	"2s.2p.(1P*).3p"	"2P"	"3/2"		"T5109LS"	""	
Ni	1	""	""	"200.6993"	"0.0010"	""	"1.7e+07"	C	"0.1090833"	"6.2846957"	"3d9.(2D).4s"	"3D"	"2"	"3d9.(2D).5p"	"3D*"	"2"		"T3861"	""	
Cd	2	"200.749"	"0.010"	"200.7496+"	"0.0006"	"100"	"1.91e+09"	B	"8.587010"	"14.761076"	"4d9.5s2"	"2D"	"5/2"	"4d9.5s.(3D).5p"	"2P*"	"3/2"		"T3096"	"L3540"	
O	4	""	""	"200.750"	"0.010"	""	"3.40e+06"	B	"61.99147"	"68.1655"	"2s2.4p"	"2P*"	"1/2"	"2s.2p.(1P*).3p"	"2P"	"1/2"		"T5109LS"	""	
Ni	1	""	""	"200.7685"	"0.0010"	""	"9.0e+06"	C	"0.1651673"	"6.3386502"	"3d8.(3F).4s2"	"3F"	"3"	"3d8.(1G).4s.4p.(3P*)"	"3F*"	"3"		"T3861"	""	
F	5	""	""	"200.777"	"0.010"	""	"2.20e+08"	B	"97.29893"	"103.47214"	"2p2.(3P).3s"	"4P"	"5/2"	"2p2.(3P).3p"	"4S*"	"3/2"		"T7192c91,LS"	""	
Nb	4	"200.8344"	"0.0005"	"200.8340"	"0.0009"	"10000"	"3.2e+08"	C+	"22.719067"	"28.890539"	"4d.4f"	"1D*"	"2"	"4d.(2D<3/2>).5g"	"2[5/2]"	"3"		"T2192"	"L12094"	
S	5	""	""	"200.883+"	"0.006"	""	"2.28e+06"	C	"43.12680"	"49.29676"	"3p.3d"	"3D*"	"1"	"3s.4d"	"1D"	"2"		"T7942c84"	""	
Ba	2	"200.920"	"0.010"	"200.92785+"	"0.00006"	""	"6.5e+06"	C+	"2.5121134"	"8.6807021"	"6p"	"2P*"	"1/2"	"10s"	"2S"	"1/2"		"T3225,T7387"	"L3450"	
O	4	""	""	"200.923"	"0.010"	""	"1.70e+06"	B	"61.99679"	"68.1655"	"2s2.4p"	"2P*"	"3/2"	"2s.2p.(1P*).3p"	"2P"	"1/2"		"T5109LS"	""	
C	3	""	""	"200.9335"	"0.0010"	""	"7.69e+07"	B	"32.199384"	"38.367799"	"1s2.2s.3p"	"3P*"	"0"	"1s2.2s.4s"	"3S"	"1"		"T5633LS"	""	
Ne	8	"200.94"	"0.10"	"200.79"	"0.10"	"100i*"	"2.7e+08"	B	"[214.704]"	"[220.877]"	"1s2.6p"	"2P*"	"1/2"	"1s2.7s"	"2S"	"1/2"		"T7495"	"L9090"	
Ne	8	"200.94"	"0.10"	"201.03"	"0.10"	"100i*"	"5.4e+08"	B	"[214.712]"	"[220.877]"	"1s2.6p"	"2P*"	"3/2"	"1s2.7s"	"2S"	"1/2"		"T7495"	"L9090"	
C	3	""	""	"200.9564"	"0.0010"	""	"2.30e+08"	B	"32.200087"	"38.367799"	"1s2.2s.3p"	"3P*"	"1"	"1s2.2s.4s"	"3S"	"1"		"T5633LS"	""	
C	3	""	""	"201.0093"	"0.0010"	""	"3.84e+08"	B	"32.201709"	"38.367799"	"1s2.2s.3p"	"3P*"	"2"	"1s2.2s.4s"	"3S"	"1"		"T5633LS"	""	
Sc	3	"201.0420"	"0.0010"	"201.0420"	"0.0010"	"60"	"1.10e+09"	C	"7.758705"	"13.923791"	"3p6.4p"	"2P*"	"3/2"	"3p6.4d"	"2D"	"5/2"		"T2886LS"	"L1891"	
Co	2	"201.151622"	"0.000017"	"201.151619"	"0.000011"	"39000"	"6.1e+07"	B+	"0.00000000"	"6.16172739"	"3d8"	"a 3F"	"4"	"3d7.(4F).4p"	"z 3F*"	"4"		"T6854"	"L9429c118"	
Fe	3	"201.1544"	"0.0005"	"201.15455"	"0.00016"	"59000"	"1.9e+08"	C	"10.214200"	"16.375838"	"3d5.(a 2D).4s"	"3D"	"3"	"3d5.(a 2D).4p"	"3F*"	"3"		"u45"	"L11223"	
Co	3	"201.16212"	"0.00003"	"201.162076"	"0.000025"	"6100"	"2.0e+08"	C+	"9.6241841"	"15.7855913"	"3d6.(3H).4s"	"b 2H"	"9/2"	"3d6.(3H).4p"	"z 2G*"	"7/2"		"u37"	"L19543c139"	
Na	3	"201.1865"	"0.0005"	"201.1865"	"0.0011"	"15"	"6.37e+08"	B+	"51.364403"	"57.525063"	"2s2.2p4.(3P).3p"	"2D*"	"5/2"	"2s2.2p4.(3P).3d"	"2F"	"7/2"		"c51,T7317"	"L1882"	
Fe	3	"201.2685"	"0.0005"	"201.26824"	"0.00016"	"59000"	"2.1e+08"	C	"10.217680"	"16.375838"	"3d5.(a 2D).4s"	"3D"	"2"	"3d5.(a 2D).4p"	"3F*"	"3"		"u45"	"L11223"	
Cu	2	"201.298037"	"0.000015"	"201.298041"	"0.000008"	"1800000"	"2.5e+08"	C	"8.23486741"	"14.39211349"	"3d9.4p"	"3P*"	"2"	"3d9.(2D<5/2>).4d"	"2[5/2]"	"3"		"T7181"	"L19804c167"	
Na	7	""	""	"201.3"	"0.6"	""	"1.74e+07"	B	"155.449"	"161.607?"	"2s.2p.(1P*).3p"	"2P"	"3/2"	"2s.2p.(1P*).3d"	"2D*"	"3/2"		"T7192c3,LS"	""	
Co	3	"201.388151"	"0.000023"	"201.388156"	"0.000017"	"7000"	"2.0e+08"	C+	"9.5979831"	"15.7524744"	"3d6.(3H).4s"	"b 2H"	"11/2"	"3d6.(3H).4p"	"z 2G*"	"9/2"		"u37"	"L19543c139"	
Ca	3	"201.4103"	"0.0008"	"201.4104"	"0.0005"	"1000"	"3.2e+06"	C	"28.192588"	"34.346400"	"3s2.3p5.3d"	"3D*"	"2"	"3s2.3p5.4p"	"3D"	"3"		"T7942"	"L262"	
Na	3	"201.4169"	"0.0005"	"201.4169"	"0.0011"	"11"	"4.88e+08"	A	"55.271848"	"61.425460"	"2s2.2p4.(1D).3p"	"2D*"	"3/2"	"2s2.2p4.(1D).3d"	"2F"	"5/2"		"c51,T7317"	"L1882"	
V	2	"201.418779"	"0.000014"	"201.418773"	"0.000013"	"92000"	"1.44e+08"	B	"2.51443045"	"8.6679864"	"3d3.(2H).4s"	"b 3H"	"5"	"3d2.(3F).4s.4p.(3P*)"	"v 3G*"	"4"		"T9770"	"L18516"	
Ni	1	""	""	"201.4241"	"0.0010"	""	"9.3e+07"	C	"0.2123957"	"6.3657885"	"3d9.(2D).4s"	"3D"	"1"	"3d8.(1G).4s.4p.(3P*)"	"3F*"	"2"		"T3861"	""	
Mo	5	"201.4782"	"0.0005"	"201.4780"	"0.0003"	"2000"	"3.8e+08"	C	"29.260521"	"35.412270"	"4p6.4d.5d"	"1P"	"1"	"4p6.4d.6p"	"1P*"	"1"		"T9479"	"L19131"	
Pt	2	"201.493181"	"0.000019"	"201.493190"	"0.000017"	"28000"	"7.6e+07"	C+	"2.0855300"	"8.2368136"	"5d8.6s"	"4F"	"5/2"	"5d8.(3P).6p"	"(2,3/2)*"	"7/2"		"T8261"	"L9083,L11529"	
Mn	19	""	""	"201.5"	"1.0"	""	"8.0e+02"	C	"30.018"	"36.170"	"2s2.2p3"	"2P*"	"1/2"	"2s2.2p3"	"2P*"	"3/2"	M1	"T3941"	""	
Fe	7	"201.537"	"0.004"	"201.5360"	"0.0025"	"67"	"2.17e+01"	B+	"2.166500"	"8.31648"	"3p6.3d2"	"1D"	"2.000"	"3p6.3d2"	"1S"	"0"	E2	"T4385"	"L22066,L9077"	
N	5	""	""	"201.554"	"0.010"	""	"3.63e+07"	B	"88.33534"	"94.4848"	"1s2.6p"	"2P*"	"3/2"	"1s2.10d"	"2D"	"5/2"		"T3225LS"	""	
Cu	2	"201.55822"	"0.00004"	"201.558222"	"0.000009"	"1400000"	"2.1e+07"	C+	"2.97541889"	"9.12471804"	"3d9.4s"	"3D"	"1"	"3d9.4p"	"1P*"	"1"		"T4280n"	"L19804c167"	
Ag	2	"201.590481"	"0.000013"	"201.590491"	"0.000007"	"34000"	"3.7e+07"	C+	"5.05178168"	"11.20009665"	"4d9.(2D<5/2>).5s"	"2[5/2]"	"2"	"4d9.(2D<3/2>).5p"	"2[1/2]*"	"1"		"T6475c87"	"L11881c113"	
Al	2	"201.6053"	"0.0010"	"201.6052"	"0.0010"	"150"	"9.82e+07"	C+	"11.846618"	"17.994485"	"3s.3d"	"3D"	"3"	"3s.8f"	"3F*"	"4"		"T6298c4,LS"	"L4575"	
N	5	""	""	"201.610"	"0.010"	""	"3.03e+07"	B	"88.33418"	"94.4819"	"1s2.6p"	"2P*"	"1/2"	"1s2.10d"	"2D"	"3/2"		"T3225LS"	""	
Al	2	"201.6234"	"0.0010"	"201.6234"	"0.0010"	"150"	"8.73e+07"	C+	"11.846753"	"17.994066"	"3s.3d"	"3D"	"2"	"3s.8f"	"3F*"	"3"		"T6298c4,LS"	"L4575"	
