Spektrum Sampel: S3
Segment Size: 10.0 nm

Puncak terpilih:
Si 1 221.089000 B)
Fe 2 226.882160 C+)
Ar 2 221.618490 nan
Si 1 221.667000 B)
Fe 1 238.183610 C+)
Fe 2 239.541909 B+)
Al 1 237.312400 B)
Eu 1 237.283100 C+)
Fe 2 239.924102 B+)
Fe 2 234.349480 A+)
Fe 2 234.811560 B+)
Al 1 236.705200 C+)
Fe 2 237.174180 C+)
Fe 2 237.499564 C+)
Fe 2 238.838782 C+)
Fe 2 236.859607 B+)
Fe 2 237.896910 C+)
Fe 2 233.279877 C+)
Fe 2 236.823310 D+)
Fe 2 238.087490 B+)
Fe 2 237.049867 B)
Fe 2 238.862863 B+)
Fe 2 240.443072 B+)
Fe 2 243.499838 C+)
Fe 2 249.070600 B+)
Fe 2 243.464872 C+)
Fe 2 249.070600 B+)
V 2 248.306180 C)
Fe 2 248.982955 B+)
Na 2 249.314900 A)
Fe 1 248.814230 B)
Fe 2 241.051891 B+)
Fe 2 247.857194 C+)
Fe 2 240.666097 B+)
Fe 2 240.609030 C+)
Fe 1 248.418750 C+)
Fe 2 248.424431 C+)
Fe 2 246.128325 B+)
Fe 2 242.414529 B+)
Fe 2 249.889721 B+)
Fe 1 246.514910 B)
Ag 2 242.951289 B+)
Fe 2 243.389200 nan
Cu 1 249.214600 B)
Fe 2 246.231828 C+)
Fe 2 246.186072 B+)
Fe 2 240.568263 C+)
Fe 2 249.781897 C+)
Fe 2 242.903588 C+)
Fe 2 245.878354 B+)
Fe 2 248.550560 D+)
Fe 2 248.635078 B+)
Fe 1 247.948020 B)
Fe 2 246.274740 D+)
Si 1 251.611300 B)
Si 1 252.410800 B)
Si 1 252.850900 B)
Si 1 251.432000 B)
Si 1 251.920200 B)
Mn 2 259.903000 D)
Fe 2 258.587560 B+)
Fe 2 250.679656 B+)
Mn 2 259.330100 C)
Mn 2 257.610380 A+)
Fe 2 259.766800 D+)
Li 1 256.231000 AA)
Al 1 257.539300 C+)
Fe 2 259.803290 D+)
Fe 1 252.247980 C+)
Ti 2 251.743134 B+)
Fe 2 255.068286 B+)
Fe 2 252.591870 C+)
Fe 2 254.908301 B+)
Fe 2 252.181511 B+)
Fe 1 254.597830 C+)
W 2 256.351460 nan
Fe 2 255.002717 B+)
Fe 2 254.965870 B+)
Mn 2 259.142900 D)
Fe 2 253.879842 B+)
Sc 2 254.082400 B')
Fe 2 252.067330 D+)
Mo 1 254.822400 B)
