Spektrum Sampel: S2
Segment Size: 200.0 nm

Puncak terpilih:
Ar 2 396.835890 B
Th 2 396.150300 nan
Tc 1 393.370500 nan
Ti 1 279.539900 nan
Cr 1 280.265000 nan
V 1 394.393700 C+
W 1 288.160600 nan
Fe 1 285.201460 nan
V 1 309.285000 nan
Cr 2 390.564390 nan
Th 1 382.032710 nan
Mo 1 383.211000 nan
Sm 2 373.714000 nan
Fe 1 373.486360 A
V 1 374.937100 C+
Hf 1 279.798000 nan
V 1 375.821100 nan
Th 2 382.602140 nan
W 2 251.627090 nan
W 2 382.787980 nan
V 2 263.114810 nan
Cr 2 337.280420 nan
Th 1 336.119772 nan
Hf 1 383.423000 nan
Ge 1 422.656250 C
Fe 1 404.581220 A
Th 2 438.344830 nan
Mg 1 518.360420 A
W 1 777.252000 nan
Hf 1 777.439000 nan
