Spektrum Sampel: S1
Segment Size: 200.0 nm

Puncak terpilih:
Mg 2 279.552800 A+
Tc 1 280.281000 nan
Fe 1 288.174100 nan
Fe 1 285.216900 nan
Co 2 251.624850 D
Fe 2 279.813300 nan
Pt 2 263.123800 nan
Co 2 252.861550 B+
Tc 1 275.576100 nan
Fe 2 252.415290 D
Cr 1 273.938580 nan
Fe 2 251.940770 D+
Mn 2 251.450300 nan
Pt 2 259.936100 nan
V 2 274.945623 nan
Fe 2 261.187336 B+
W 2 239.565560 nan
Mn 2 258.589000 C
Fe 2 262.566685 B+
Mn 2 238.211000 nan
Fe 2 249.337900 nan
Fe 2 240.499322 B+
Th 2 279.101251 nan
Cr 2 293.693348 nan
Fe 2 256.262220 D+
Fe 2 262.829279 B
V 2 259.860590 nan
W 1 250.705100 nan
V 2 243.494100 nan
Cs 2 252.543600 nan
Cr 2 261.383940 nan
Tm 1 297.321800 B+
W 2 237.344540 nan
Cu 1 274.671300 nan
W 2 234.346520 nan
Mn 2 252.301300 D
Cr 2 260.715783 nan
Fe 2 276.741510 D+
W 1 241.062000 nan
Na 1 259.383000 B
Fe 2 272.753885 B+
W 1 249.084600 nan
W 2 239.933060 nan
Cr 2 259.790500 nan
W 2 261.763020 nan
Zn 1 273.720000 nan
Mn 2 257.618300 C
Ag 2 266.044956 C+
Hf 1 296.695300 nan
Co 2 240.679040 C+
Cr 2 256.332045 nan
Rh 1 248.333000 nan
Fe 1 283.545620 C+
W 2 284.243830 nan
Cr 2 234.825900 nan
Ti 2 257.521550 nan
Ru 1 248.991000 nan
W 1 280.542700 nan
Fe 1 254.952520 C+
Fe 1 292.911700 C+
Th 1 284.390652 nan
W 1 284.073800 nan
Pt 1 271.903080 B+
Fe 1 248.816010 nan
Mn 2 292.387000 nan
Fe 1 254.888300 nan
V 2 275.339690 A
Fe 1 297.009920 B+
Cr 2 283.808390 nan
Fe 1 236.739100 nan
Dy 2 259.156000 nan
Mn 2 276.208800 D
V 1 293.927700 nan
Mn 2 283.950000 nan
Fe 1 249.887370 B
C 2 253.898000 B
Fe 1 280.698400 B+
Zn 1 258.248954 nan
V 2 247.861400 nan
Gd 2 283.700000 nan
Th 2 293.309731 nan
Hf 1 266.458300 nan
Cu 1 266.659000 nan
Mn 2 262.173000 nan
Cr 2 288.496380 nan
